token	lemma	pos	onset	offset	entity	bablefy_id (iob)	link	TP_MERGE	FP_MERGE	FN_MERGE	OCR_MERGE
exatnine	exatnine	NOUN	1900	1907						1	1
.	.	PUNCT	1908	1908							
r	r	VERB	1910	1910							
les	le	DET	1912	1914							
dépenses	dépense	NOUN	1916	1923	dépenses	B-bn:00290893n	https://babelnet.org/synset?word=bn:00290893n&lang=FR&langTrans=EN	1			
militaires	militaire	ADJ	1925	1934	militaires	I-bn:00290893n	https://babelnet.org/synset?word=bn:00290893n&lang=FR&langTrans=EN	1			
.	.	PUNCT	1935	1935							
Grenades	grenade	NOUN	1937	1944						1	
ditesSchrapuels	ditesschrapuel	ADJ	1946	1960						1	1
(	(	PUNCT	1962	1962							
du	du	DET	1963	1964							
nom	nom	NOUN	1966	1968	nom	B-bn:00056758n	https://babelnet.org/synset?word=bn:00056758n&lang=FR&langTrans=EN	1			
de	de	ADP	1970	1971							
l'	le	DET	1973	1974							
inventeur	inventeur	NOUN	1975	1983	inventeur	B-bn:00006156n	https://babelnet.org/synset?word=bn:00006156n&lang=FR&langTrans=EN	1			
.	.	PUNCT	1984	1984							
)	)	PUNCT	1985	1985							
Le	le	DET	1987	1988							
conseil	conseil	NOUN	1990	1996	conseil	B-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
de	de	ADP	1998	1999	de	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
la	le	DET	2001	2002	la	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
guerre	guerre	NOUN	2004	2009	guerre	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
donne	donner	VERB	2011	2015	donne	B-bn:00088815v	https://babelnet.org/synset?word=bn:00088815v&lang=FR&langTrans=EN	1			
des	un	DET	2017	2019							
explications	explication	NOUN	2021	2032	explications	B-bn:00000741n	https://babelnet.org/synset?word=bn:00000741n&lang=FR&langTrans=EN	1			
sur	sur	ADP	2034	2036							
la	le	DET	2038	2039							
nécessité	nécessiter	NOUN	2041	2049	nécessité	B-bn:00057131n	https://babelnet.org/synset?word=bn:00057131n&lang=FR&langTrans=EN	1			
de	de	ADP	2051	2052							
faire	faire	VERB	2054	2058	faire	B-bn:00087107v	https://babelnet.org/synset?word=bn:00087107v&lang=FR&langTrans=EN	1			
des	un	DET	2060	2062							
essais	essai	NOUN	2064	2069	essais	B-bn:00031622n	https://babelnet.org/synset?word=bn:00031622n&lang=FR&langTrans=EN		1	1	
avec	avec	ADP	2071	2074							
ce	ce	DET	2076	2077							
nouveau	nouveau	NOUN	2079	2085	nouveau	B-bn:00107267a	https://babelnet.org/synset?word=bn:00107267a&lang=FR&langTrans=EN	1			
projectile	projectil	ADJ	2087	2096	projectile	B-bn:00055323n	https://babelnet.org/synset?word=bn:00055323n&lang=FR&langTrans=EN	1			
.	.	PUNCT	2097	2097							
Il	il	PRON	2099	2100							
est	être	AUX	2102	2104	est	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
décidé	décider	VERB	2106	2111	décidé	B-bn:00086370v	https://babelnet.org/synset?word=bn:00086370v&lang=FR&langTrans=EN	1			
à	à	ADP	2113	2113							
l'	le	DET	2115	2116							
unanimité	unanimité	NOUN	2117	2125	unanimité	B-bn:00078939n	https://babelnet.org/synset?word=bn:00078939n&lang=FR&langTrans=EN	1			
qu'	que	PRON	2127	2129							
on	on	PRON	2130	2131							
continuera	continuer	VERB	2133	2142	continuera	B-bn:00085714v	https://babelnet.org/synset?word=bn:00085714v&lang=FR&langTrans=EN	1			
les	le	DET	2144	2146							
essais	essai	NOUN	2148	2153	essais	B-bn:00031622n	https://babelnet.org/synset?word=bn:00031622n&lang=FR&langTrans=EN		1	1	
.	.	PUNCT	2154	2154							
Quant	quant	ADV	2156	2160							
au	au	DET	2162	2163							
point	point	NOUN	2165	2169	point	B-bn:00026622n	https://babelnet.org/synset?word=bn:00026622n&lang=FR&langTrans=EN	1			
financier	financier	ADJ	2171	2179	financier	B-bn:00102971a	https://babelnet.org/synset?word=bn:00102971a&lang=FR&langTrans=EN	1			
,	,	PUNCT	2180	2180							
ou	ou	CCONJ	2182	2183							
s'	si	PRON	2185	2186							
en	en	PRON	2187	2188							
occupera	occuper	VERB	2190	2197	occupera	B-bn:00090437v	https://babelnet.org/synset?word=bn:00090437v&lang=FR&langTrans=EN	1			
aussi	aussi	ADV	2199	2203	aussi	B-bn:00114246r	https://babelnet.org/synset?word=bn:00114246r&lang=FR&langTrans=EN	1			
lors	lors	ADV	2205	2208	lors	B-bn:00117250r	https://babelnet.org/synset?word=bn:00117250r&lang=FR&langTrans=EN	1			
de	de	ADP	2210	2211							
la	le	DET	2213	2214							
discussion	discussion	NOUN	2216	2225	discussion	B-bn:00027544n	https://babelnet.org/synset?word=bn:00027544n&lang=FR&langTrans=EN	1			
du	du	DET	2227	2228							
budget	budget	NOUN	2230	2235	budget	B-bn:00013640n	https://babelnet.org/synset?word=bn:00013640n&lang=FR&langTrans=EN	1			
.	.	PUNCT	2236	2236							
acquisition	acquisition	NOUN	2238	2248	acquisition	B-bn:00001005n	https://babelnet.org/synset?word=bn:00001005n&lang=FR&langTrans=EN	1			
du	du	DET	2250	2251							
matériel	matériel	NOUN	2253	2260	matériel	B-bn:00031321n	https://babelnet.org/synset?word=bn:00031321n&lang=FR&langTrans=EN	1			
de	de	ADP	2262	2263							
guerre	guerre	NOUN	2265	2270	guerre	B-bn:00080439n	https://babelnet.org/synset?word=bn:00080439n&lang=FR&langTrans=EN	1			
.	.	PUNCT	2271	2271							
—	--	PUNCT	2273	2273							
Cette	ce	DET	2275	2279							
affaire	affaire	NOUN	2281	2287	affaire	B-bn:00001734n	https://babelnet.org/synset?word=bn:00001734n&lang=FR&langTrans=EN	1			
est	être	AUX	2289	2291	est	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
renvoyée	renvoyer	VERB	2293	2300						1	
à	à	ADP	2302	2302							
la	le	DET	2304	2305							
commission	commission	NOUN	2307	2316	commission	B-bn:00021016n	https://babelnet.org/synset?word=bn:00021016n&lang=FR&langTrans=EN	1			
chargée	charger	VERB	2318	2324						1	
d'	de	ADP	2326	2327							
examiner	examiner	VERB	2328	2335	examiner	B-bn:00085651v	https://babelnet.org/synset?word=bn:00085651v&lang=FR&langTrans=EN	1			
les	le	DET	2337	2339							
dépenses	dépense	NOUN	2341	2348	dépenses	B-bn:00290893n	https://babelnet.org/synset?word=bn:00290893n&lang=FR&langTrans=EN	1			
militaires	militaire	ADJ	2350	2359	militaires	I-bn:00290893n	https://babelnet.org/synset?word=bn:00290893n&lang=FR&langTrans=EN	1			
et	et	CCONJ	2361	2362							
elle	lui	PRON	2364	2367							
sera	être	AUX	2369	2372	sera	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
traitée	traiter	VERB	2374	2380						1	
avec	avec	ADP	2382	2385							
le	le	DET	2387	2388							
budget	budget	NOUN	2390	2395	budget	B-bn:00013640n	https://babelnet.org/synset?word=bn:00013640n&lang=FR&langTrans=EN	1			
.	.	PUNCT	2396	2396							
La	le	DET	2398	2399							
gestion	gestion	NOUN	2401	2407	gestion	B-bn:00053116n	https://babelnet.org/synset?word=bn:00053116n&lang=FR&langTrans=EN	1			
du	du	DET	2409	2410							
conseil	conseil	NOUN	2412	2418	conseil	B-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
de	de	ADP	2420	2421	de	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
la	le	DET	2423	2424	la	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
guerre	guerre	NOUN	2426	2431	guerre	I-bn:04756940n	https://babelnet.org/synset?word=bn:04756940n&lang=FR&langTrans=EN		1	1	
pendant	pendre	ADP	2433	2439							
l'	le	DET	2441	2442							
année	année	NOUN	2443	2447	année	B-bn:00006662n	https://babelnet.org/synset?word=bn:00006662n&lang=FR&langTrans=EN	1			
1847	1847	NUM	2449	2452							
a	avoir	AUX	2454	2454						1	
éléensuite	éléensuite	NOUN	2456	2465							1
approuvée	approuver	VERB	2467	2475						1	
à	à	ADP	2477	2477							
l'	le	DET	2479	2480							
unanimité	unanimité	NOUN	2481	2489	unanimité	B-bn:00078939n	https://babelnet.org/synset?word=bn:00078939n&lang=FR&langTrans=EN	1			
et	et	CCONJ	2491	2492							
des	un	DET	2494	2496							
remerciemens	remerciemen	NOUN	2498	2509						1	
lui	luire	PRON	2511	2513							
sont	être	AUX	2515	2518	sont	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
votés	voter	VERB	2520	2524						1	
pour	pour	ADP	2526	2529							
l'	le	DET	2531	2532							
activité	activité	NOUN	2533	2540	activité	B-bn:00001173n	https://babelnet.org/synset?word=bn:00001173n&lang=FR&langTrans=EN	1			
qu'	que	PRON	2542	2544							
il	il	PRON	2545	2546							
a	avoir	AUX	2548	2548							
déployée	déployer	VERB	2550	2557						1	
et	et	CCONJ	2559	2560							
les	le	DET	2562	2564							
sages	sage	NOUN	2566	2570						1	
mesures	mesure	NOUN	2572	2578	mesures	B-bn:00054019n	https://babelnet.org/synset?word=bn:00054019n&lang=FR&langTrans=EN	1			
qu'	que	PRON	2580	2582							
il	il	PRON	2583	2584							
a	avoir	AUX	2586	2586							
prises	prendre	VERB	2588	2593	prises	B-bn:00093997v	https://babelnet.org/synset?word=bn:00093997v&lang=FR&langTrans=EN		1	1	
pendant	pendre	ADP	2595	2601							
les	le	DET	2603	2605							
malheureux	malheureux	ADJ	2607	2616	malheureux	B-bn:00112813a	https://babelnet.org/synset?word=bn:00112813a&lang=FR&langTrans=EN	1			
événemens	événemen	NOUN	2618	2626						1	
provoqués	provoquer	VERB	2628	2636						1	
par	par	ADP	2638	2640							
le	le	DET	2642	2643							
Sonderbund	sonderbund	NOUN	2645	2654	Sonderbund	B-bn:16612849n	https://babelnet.org/synset?word=bn:16612849n&lang=FR&langTrans=EN	1			
.	.	PUNCT	2655	2655							
La	le	DET	2657	2658							
Diète	diète	NOUN	2660	2664	Diète	B-bn:00027012n	https://babelnet.org/synset?word=bn:00027012n&lang=FR&langTrans=EN	1			
s'	si	PRON	2666	2667							
occupera	occuper	VERB	2668	2675	occupera	B-bn:00090437v	https://babelnet.org/synset?word=bn:00090437v&lang=FR&langTrans=EN	1			
dans	dan	ADP	2677	2680							
sa	son	DET	2682	2683							
séance	séance	NOUN	2685	2690	séance	B-bn:00070034n	https://babelnet.org/synset?word=bn:00070034n&lang=FR&langTrans=EN		1	1	
de	de	ADP	2692	2693							
lundi	lundi	NOUN	2695	2699	lundi	B-bn:00055609n	https://babelnet.org/synset?word=bn:00055609n&lang=FR&langTrans=EN	1			
du	du	DET	2701	2702							
remplacement	remplacement	NOUN	2704	2715	remplacement	B-bn:00067169n	https://babelnet.org/synset?word=bn:00067169n&lang=FR&langTrans=EN	1			
de	de	ADP	2717	2718							
M.	monsieur	NOUN	2720	2721						1	
le	le	DET	2723	2724	le	B-bn:04857613n	https://babelnet.org/synset?word=bn:04857613n&lang=FR&langTrans=EN		1		
colonel	colonel	NOUN	2726	2732	colonel	I-bn:04857613n	https://babelnet.org/synset?word=bn:04857613n&lang=FR&langTrans=EN		1		
Ziiuuierli	Ziiuuierli	PROPN	2734	2743						1	1
,	,	PUNCT	2744	2744							
qui	qui	PRON	2746	2748							
n'	ne	ADV	2750	2751							
est	être	AUX	2752	2754	est	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
pas	pas	ADV	2756	2758							
rééligible	rééligible	ADJ	2760	2769						1	
au	au	DET	2771	2772							
conseil	conseil	NOUN	2774	2780	conseil	B-bn:00023134n	https://babelnet.org/synset?word=bn:00023134n&lang=FR&langTrans=EN		1	1	
fédéral	fédéral	ADJ	2782	2788	fédéral	B-bn:00102871a	https://babelnet.org/synset?word=bn:00102871a&lang=FR&langTrans=EN	1			
de	de	ADP	2790	2791							
la	le	DET	2793	2794							
guerre	guerre	NOUN	2796	2801	guerre	B-bn:00080439n	https://babelnet.org/synset?word=bn:00080439n&lang=FR&langTrans=EN	1			
.	.	PUNCT	2802	2802							
Sur	Sur	ADP	2804	2806							
la	le	DET	2808	2809							
proposition	proposition	NOUN	2811	2821	proposition	B-bn:00064779n	https://babelnet.org/synset?word=bn:00064779n&lang=FR&langTrans=EN		1	1	
de	de	ADP	2823	2824							
Vaud	Vaud	PROPN	2826	2829	Vaud	B-bn:02251749n	https://babelnet.org/synset?word=bn:02251749n&lang=FR&langTrans=EN	1			
,	,	PUNCT	2830	2830							
on	on	PRON	2832	2833							
communiquera	communiquer	VERB	2835	2846						1	
aux	aux	ADP	2848	2850							
membres	membre	NOUN	2852	2858	membres	B-bn:00034004n	https://babelnet.org/synset?word=bn:00034004n&lang=FR&langTrans=EN	1			
de	de	ADP	2860	2861							
l'	le	DET	2863	2864							
assemblée	assemblée	NOUN	2865	2873	assemblée	B-bn:00216949n	https://babelnet.org/synset?word=bn:00216949n&lang=FR&langTrans=EN		1	1	
une	un	DET	2875	2877							
liste	liste	NOUN	2879	2883	liste	B-bn:00071253n	https://babelnet.org/synset?word=bn:00071253n&lang=FR&langTrans=EN		1	1	
des	un	DET	2885	2887							
officiers	officier	NOUN	2889	2897	officiers	B-bn:00054972n	https://babelnet.org/synset?word=bn:00054972n&lang=FR&langTrans=EN	1			
éligiblcs	éligiblc	ADJ	2899	2907						1	1
.	.	PUNCT	2908	2908							
Rapports	rapport	NOUN	2910	2917	Rapports	B-bn:00067181n	https://babelnet.org/synset?word=bn:00067181n&lang=FR&langTrans=EN	1			
territoriaux	territorial	ADJ	2919	2930	territoriaux	B-bn:00111761a	https://babelnet.org/synset?word=bn:00111761a&lang=FR&langTrans=EN	1			
.	.	PUNCT	2931	2931							
—	--	PUNCT	2933	2933							
L'	le	DET	2935	2936							
affaire	affaire	NOUN	2937	2943	affaire	B-bn:00001734n	https://babelnet.org/synset?word=bn:00001734n&lang=FR&langTrans=EN	1			
est	être	AUX	2945	2947	est	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
demeurée	demeurer	VERB	2949	2956						1	
dans	dan	ADP	2958	2961							
le	le	DET	2963	2964							
môme	môme	NOUN	2966	2969	môme	B-bn:00018346n	https://babelnet.org/synset?word=bn:00018346n&lang=FR&langTrans=EN	1	1		1
étal	étal	ADJ	2971	2974						1	1
en	en	ADP	2976	2977							
ce	ce	PRON	2979	2980							
qui	qui	PRON	2982	2984							
concerne	concerner	VERB	2986	2993	concerne	B-bn:00083240v	https://babelnet.org/synset?word=bn:00083240v&lang=FR&langTrans=EN	1			
la	le	DET	2995	2996							
délimitation	délimitation	NOUN	2998	3009	délimitation	B-bn:00012212n	https://babelnet.org/synset?word=bn:00012212n&lang=FR&langTrans=EN	1			
des	un	DET	3011	3013	des	I-bn:00012212n	https://babelnet.org/synset?word=bn:00012212n&lang=FR&langTrans=EN	1			
frontières	frontière	NOUN	3015	3024	frontières	I-bn:00012212n	https://babelnet.org/synset?word=bn:00012212n&lang=FR&langTrans=EN	1			
entre	entrer	ADP	3026	3030							
la	le	DET	3032	3033							
Suisse	Suisse	PROPN	3035	3040	Suisse	B-bn:00069666n	https://babelnet.org/synset?word=bn:00069666n&lang=FR&langTrans=EN	1			
et	et	CCONJ	3042	3043							
les	le	DET	3045	3047							
Etats	etat	NOUN	3049	3053	Etats	B-bn:00074010n	https://babelnet.org/synset?word=bn:00074010n&lang=FR&langTrans=EN	1			
autrichiens	autrichien	ADJ	3055	3065	autrichiens	B-bn:00097788a	https://babelnet.org/synset?word=bn:00097788a&lang=FR&langTrans=EN	1			
le	le	DET	3067	3068							
long	long	ADJ	3070	3073	long	B-bn:00106125a	https://babelnet.org/synset?word=bn:00106125a&lang=FR&langTrans=EN	1			
du	du	DET	3075	3076							
territoire	territoire	NOUN	3078	3087	territoire	B-bn:00027810n	https://babelnet.org/synset?word=bn:00027810n&lang=FR&langTrans=EN	1			
du	du	DET	3089	3090							
canton	canton	NOUN	3092	3097	canton	B-bn:00938653n	https://babelnet.org/synset?word=bn:00938653n&lang=FR&langTrans=EN	1			
des	un	DET	3099	3101	des	I-bn:00938653n	https://babelnet.org/synset?word=bn:00938653n&lang=FR&langTrans=EN	1			
Grisons	grison	NOUN	3103	3109	Grisons	I-bn:00938653n	https://babelnet.org/synset?word=bn:00938653n&lang=FR&langTrans=EN	1			
.	.	PUNCT	3110	3110							
Les	le	DET	3112	3114							
pleins	plein	NOUN	3116	3121						1	
-	-	PUNCT	3122	3122							
pouvoirs	pouvoir	NOUN	3123	3130						1	
donnés	donner	VERB	3132	3137						1	
à	à	ADP	3139	3139							
ce	ce	DET	3141	3142							
sujet	sujet	NOUN	3144	3148	sujet	B-bn:00022157n	https://babelnet.org/synset?word=bn:00022157n&lang=FR&langTrans=EN		1	1	
au	au	PRON	3150	3151							
Directoire	directoire	NOUN	3153	3162						1	
sont	être	AUX	3164	3167	sont	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
renouvelés	renouveler	VERB	3169	3178						1	
avec	avec	ADP	3180	3183							
invitation	invitation	NOUN	3185	3194	invitation	B-bn:00047375n	https://babelnet.org/synset?word=bn:00047375n&lang=FR&langTrans=EN	1			
d'	de	ADP	3196	3197							
accélérer	accélérer	VERB	3198	3206	accélérer	B-bn:00082193v	https://babelnet.org/synset?word=bn:00082193v&lang=FR&langTrans=EN	1			
la	le	DET	3208	3209							
solution	solution	NOUN	3211	3218	solution	B-bn:00072760n	https://babelnet.org/synset?word=bn:00072760n&lang=FR&langTrans=EN		1	1	
de	de	ADP	3220	3221							
cette	ce	DET	3223	3227							
affaire	affaire	NOUN	3229	3235	affaire	B-bn:00001734n	https://babelnet.org/synset?word=bn:00001734n&lang=FR&langTrans=EN	1			
.	.	PUNCT	3236	3236							
Le	le	DET	3238	3239							
Directoire	Directoire	PROPN	3241	3250						1	
ne	ne	ADV	3252	3253							
se	se	PRON	3255	3256							
trouve	trouver	VERB	3258	3263	trouve	B-bn:00084231v	https://babelnet.org/synset?word=bn:00084231v&lang=FR&langTrans=EN	1			
pas	pas	ADV	3265	3267							
en	en	ADP	3269	3270							
mesure	mesure	NOUN	3272	3277	mesure	B-bn:00054019n	https://babelnet.org/synset?word=bn:00054019n&lang=FR&langTrans=EN	1			
de	de	ADP	3279	3280							
communiquer	communiquer	VERB	3282	3292	communiquer	B-bn:00085435v	https://babelnet.org/synset?word=bn:00085435v&lang=FR&langTrans=EN	1			
un	un	DET	3294	3295							
résultat	résultat	NOUN	3297	3304	résultat	B-bn:00021961n	https://babelnet.org/synset?word=bn:00021961n&lang=FR&langTrans=EN	1			
positif	positif	ADJ	3306	3312	positif	B-bn:00108822a	https://babelnet.org/synset?word=bn:00108822a&lang=FR&langTrans=EN	1			
quelconque	quelconque	SCONJ	3314	3323	quelconque	B-bn:00097433a	https://babelnet.org/synset?word=bn:00097433a&lang=FR&langTrans=EN	1			
au	au	PRON	3325	3326							
sujet	sujet	NOUN	3328	3332	sujet	B-bn:00022157n	https://babelnet.org/synset?word=bn:00022157n&lang=FR&langTrans=EN		1	1	
de	de	ADP	3334	3335							
la	le	DET	3337	3338							
rectification	rectification	NOUN	3340	3352	rectification	B-bn:00940383n	https://babelnet.org/synset?word=bn:00940383n&lang=FR&langTrans=EN		1	1	
de	de	ADP	3354	3355							
la	le	DET	3357	3358							
frontière	frontière	NOUN	3360	3368	frontière	B-bn:00012212n	https://babelnet.org/synset?word=bn:00012212n&lang=FR&langTrans=EN	1			
à	à	ADP	3370	3370							
opérer	opérer	VERB	3372	3377	opérer	B-bn:00091177v	https://babelnet.org/synset?word=bn:00091177v&lang=FR&langTrans=EN	1			
entre	entrer	ADP	3379	3383							
l'	le	DET	3385	3386							
Autriche	Autriche	PROPN	3387	3394	Autriche	B-bn:00007266n	https://babelnet.org/synset?word=bn:00007266n&lang=FR&langTrans=EN	1			
et	et	CCONJ	3396	3397							
la	le	DET	3399	3400							
Confédération	Confédération	PROPN	3402	3414	Confédération	B-bn:00021711n	https://babelnet.org/synset?word=bn:00021711n&lang=FR&langTrans=EN	1			
le	le	DET	3416	3417							
long	long	NOUN	3419	3422	long	B-bn:14893649n	https://babelnet.org/synset?word=bn:14893649n&lang=FR&langTrans=EN		1	1	
du	du	DET	3424	3425							
canton	canton	NOUN	3427	3432	canton	B-bn:00076646n	https://babelnet.org/synset?word=bn:00076646n&lang=FR&langTrans=EN	1			
du	du	DET	3434	3435	du	I-bn:00076646n	https://babelnet.org/synset?word=bn:00076646n&lang=FR&langTrans=EN	1			
Tessin	Tessin	PROPN	3437	3442	Tessin	I-bn:00076646n	https://babelnet.org/synset?word=bn:00076646n&lang=FR&langTrans=EN	1			
.	.	PUNCT	3443	3443							
Les	le	DET	3445	3447							
pleins	plein	NOUN	3449	3454						1	
-	-	PUNCT	3455	3455							
pouvoirs	pouvoir	NOUN	3456	3463						1	
du	du	DET	3465	3466							
Directoire	Directoire	PROPN	3468	3477						1	
sont	être	AUX	3479	3482	sont	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=EN	1			
également	également	ADV	3484	3492	également	B-bn:00115274r	https://babelnet.org/synset?word=bn:00115274r&lang=FR&langTrans=EN		1	1	
renouvelés	renouveler	VERB	3494	3503							
.	.	PUNCT	3504	3504							
En	En	ADP	3506	3507							
ce	ce	PRON	3509	3510							
qui	qui	PRON	3512	3514							
concerne	concerner	VERB	3516	3523	concerne	B-bn:00083240v	https://babelnet.org/synset?word=bn:00083240v&lang=FR&langTrans=EN	1			
les	le	DET	3525	3527							
difficultés	difficulté	NOUN	3529	3539	difficultés	B-bn:00027041n	https://babelnet.org/synset?word=bn:00027041n&lang=FR&langTrans=EN	1			
territoriales	territorial	ADJ	3541	3553	territoriales	B-bn:00111761a	https://babelnet.org/synset?word=bn:00111761a&lang=FR&langTrans=EN	1			
entre	entrer	ADP	3555	3559							
la	le	DET	3561	3562							
Confédération	Confédération	PROPN	3564	3576	Confédération	B-bn:00069666n	https://babelnet.org/synset?word=bn:00069666n&lang=FR&langTrans=EN	1			
suisse	suisse	ADJ	3578	3583	suisse	I-bn:00069666n	https://babelnet.org/synset?word=bn:00069666n&lang=FR&langTrans=EN	1			
et	et	CCONJ	3585	3586							
le	le	DET	3588	3589							
grand	grand	ADJ	3591	3595	grand	B-bn:00111630a	https://babelnet.org/synset?word=bn:00111630a&lang=FR&langTrans=EN	1			
duché	duché	NOUN	3597	3601	duché	B-bn:00029009n	https://babelnet.org/synset?word=bn:00029009n&lang=FR&langTrans=EN	1			
de	de	ADP	3603	3604							
Baden	Baden	PROPN	3606	3610	Baden	B-bn:03770335n	https://babelnet.org/synset?word=bn:03770335n&lang=FR&langTrans=EN	1			
le	le	DET	3612	3613							
Ions	Ions	PROPN	3615	3618	Ions	B-bn:00047408n	https://babelnet.org/synset?word=bn:00047408n&lang=FR&langTrans=EN		1	1	1
du	du	DET	3620	3621							
cajilon	cajilon	NOUN	3623	3629						1	1
de	de	ADP	3631	3632							
Thurgovie	Thurgovie	PROPN	3634	3642	Thurgovie	B-bn:02576584n	https://babelnet.org/synset?word=bn:02576584n&lang=FR&langTrans=EN	1			
,	,	PUNCT	3643	3643							
aucune	aucun	DET	3645	3650							
conférence	conférence	NOUN	3652	3661	conférence	B-bn:00050488n	https://babelnet.org/synset?word=bn:00050488n&lang=FR&langTrans=EN		1	1	
n'	ne	ADV	3663	3664							
a	avoir	AUX	3665	3665						1	
pu	pouvoir	AUX	3667	3668	pu	B-bn:13601970v	https://babelnet.org/synset?word=bn:13601970v&lang=FR&langTrans=EN	1			
encore	encore	ADV	3670	3675	encore	B-bn:00114171r	https://babelnet.org/synset?word=bn:00114171r&lang=FR&langTrans=EN	1			
avoir	avoir	VERB	3677	3681	avoir	B-bn:00085337v	https://babelnet.org/synset?word=bn:00085337v&lang=FR&langTrans=EN	1			
lieu	lieu	NOUN	3683	3686	lieu	I-bn:00085337v	https://babelnet.org/synset?word=bn:00085337v&lang=FR&langTrans=EN	1			
entre	entrer	ADP	3688	3692							
les	le	DET	3694	3696							
commissaires	commissaire	NOUN	3698	3709	commissaires	B-bn:00021011n	https://babelnet.org/synset?word=bn:00021011n&lang=FR&langTrans=EN	1			
désignés	désigné	ADJ	3711	3718							
départ	départ	NOUN	3720	3725	départ	B-bn:00026343n	https://babelnet.org/synset?word=bn:00026343n&lang=FR&langTrans=EN	1			
et	et	CCONJ	3727	3728							
d'	de	ADP	3730	3731							
autre	autre	ADJ	3732	3736						1	
-	-	PUNCT	3737	3737							
il	il	PRON	3738	3739							
p.	p.	NOUN	3741	3742						1	1
ourrail	ourrail	NOUN	3744	3750						1	1
toutefois	toutefois	ADV	3752	3760	toutefois	B-bn:00115698r	https://babelnet.org/synset?word=bn:00115698r&lang=FR&langTrans=EN	1			
arriver	arriver	VERB	3762	3768	arriver	B-bn:00083286v	https://babelnet.org/synset?word=bn:00083286v&lang=FR&langTrans=EN	1			
qu'	que	SCONJ	3770	3772							
on	on	PRON	3773	3774							
ne	ne	ADV	3776	3777						1	
tarde	tarder	VERB	3779	3783						1	
pas	pas	ADV	3785	3787						1	
à	à	ADP	3789	3789							
s'	si	PRON	3791	3792							
entendre	entendre	VERB	3793	3800	entendre	B-bn:00089277v	https://babelnet.org/synset?word=bn:00089277v&lang=FR&langTrans=EN	1			
sur	sur	ADP	3802	3804							
cette	ce	DET	3806	3810							
affaire	affaire	NOUN	3812	3818	affaire	B-bn:00001734n	https://babelnet.org/synset?word=bn:00001734n&lang=FR&langTrans=EN	1			
.	.	PUNCT	3819	3819							
Renouvellement	renouvellement	NOUN	3821	3834	Renouvellement	B-bn:01643383n	https://babelnet.org/synset?word=bn:01643383n&lang=FR&langTrans=EN		1	1	
de	de	ADP	3836	3837							
pleins	plein	NOUN	3839	3844						1	
-	-	PUNCT	3845	3845							
pouvoirs	pouvoir	NOUN	3846	3853						1	
au	au	PRON	3855	3856							
Directoire	directoire	NOUN	3858	3867						1	
.	.	PUNCT	3868	3868							
L'	le	DET	3870	3871							
Etat	etat	NOUN	3872	3875	Etat	B-bn:00074010n	https://babelnet.org/synset?word=bn:00074010n&lang=FR&langTrans=EN	1			
de	de	ADP	3877	3878							
Fribourg	Fribourg	PROPN	3880	3887	Fribourg	B-bn:00137241n	https://babelnet.org/synset?word=bn:00137241n&lang=FR&langTrans=EN		1	1	
n'	ne	ADV	3889	3890							
a	avoir	AUX	3891	3891							
pas	pas	ADV	3893	3895	pas	B-bn:13692440r	https://babelnet.org/synset?word=bn:13692440r&lang=FR&langTrans=EN	1			
encore	encore	ADV	3897	3902	encore	I-bn:13692440r	https://babelnet.org/synset?word=bn:13692440r&lang=FR&langTrans=EN	1			
fait	faire	VERB	3904	3907	fait	B-bn:00087107v	https://babelnet.org/synset?word=bn:00087107v&lang=FR&langTrans=EN	1			
la	le	DET	3909	3910							
communication	communication	NOUN	3912	3924	communication	B-bn:00021221n	https://babelnet.org/synset?word=bn:00021221n&lang=FR&langTrans=EN	1			
depuis	depuis	ADP	3926	3931							
longtemps	longtemps	ADV	3933	3941	longtemps	B-bn:00116156r	https://babelnet.org/synset?word=bn:00116156r&lang=FR&langTrans=EN	1			
annoncée	annoncer	VERB	3943	3950						1	
,	,	PUNCT	3951	3951							
d'	de	ADP	3953	3954							
