token	lemma	pos	onset	offset	entity	babelfy_id	link_to_synset	TP	FP	FN	OCR	FN and OCR
ganzes	ganz	ADJ	16	21	ganzes	B-bn:00102277a	https://babelnet.org/synset?word=bn:00102277a&lang=DE&langTrans=DE	1				0
Vermögen	Vermögen	NOUN	23	30	Vermögen	B-bn:00067741n	https://babelnet.org/synset?word=bn:00067741n&lang=DE&langTrans=DE		1	1		0
von	von	ADP	32	34								0
6	6	NUM	36	36								0
Millionen	Million	NOUN	38	46	Millionen	B-bn:00000013n	https://babelnet.org/synset?word=bn:00000013n&lang=DE&langTrans=DE	1				0
Franken	Franke	NOUN	0	6	Franken	B-bn:01806527n	https://babelnet.org/synset?word=bn:01806527n&lang=DE&langTrans=DE		1	1		0
verlor	verlieren	VERB	8	13	verlor	B-bn:00090485v	https://babelnet.org/synset?word=bn:00090485v&lang=DE&langTrans=DE	1				0
1857	1857	NUM	0	3								0
beschrieb	beschreiben	VERB	5	13	beschrieb	B-bn:00082233v	https://babelnet.org/synset?word=bn:00082233v&lang=DE&langTrans=DE	1				0
Schweizer	Schweizer	NOUN	15	23	Schweizer	B-bn:00075601n	https://babelnet.org/synset?word=bn:00075601n&lang=DE&langTrans=DE		1	1		0
im	im	ADP	25	26								0
Journal	Journal	NOUN	28	34	Journal	B-bn:00048453n	https://babelnet.org/synset?word=bn:00048453n&lang=DE&langTrans=DE	1				0
für	für	PART	36	38								0
praktische	praktische	ADJ	0	9	praktische	B-bn:00108880a	https://babelnet.org/synset?word=bn:00108880a&lang=DE&langTrans=DE	1				0
Chemie	Chemie	NOUN	11	16	Chemie	B-bn:00018123n	https://babelnet.org/synset?word=bn:00018123n&lang=DE&langTrans=DE	1				0
die	der	DET	18	20								0
kuproammoniakale	kuproammoniakale	ADJ	22	37						1		0
Schweizerlôsung	Schweizerlôsung	NOUN	39	53						1	1	1
1890	1890	NUM	55	58								0
stellte	stellen	VERB	60	66	stellte	B-bn:00090224v	https://babelnet.org/synset?word=bn:00090224v&lang=DE&langTrans=DE		1	1		0
Gral	Gral	PROPN	68	71						1	1	1
Dupeissis	Dupeissis	PROPN	73	81						1		0
das	der	PRON	83	85								0
sog	sog	VERB	87	89						1		0
KupferAmmoniakVersahren	KupferAmmoniakVersahren	ADV	0	22								0
her	her	ADV	24	26								0
an	an	PART	28	29								0
Cunstseidenindustrie	Cunstseidenindustrie	NOUN	0	19						1	1	1
dessen	der	PRON	0	5								0
Entwicklung	Entwicklung	NOUN	7	17	Entwicklung	B-bn:00026695n	https://babelnet.org/synset?word=bn:00026695n&lang=DE&langTrans=DE	1				0
und	und	CONJ	19	21								0
Verbesserung	Verbesserung	NOUN	23	34	Verbesserung	B-bn:00003322n	https://babelnet.org/synset?word=bn:00003322n&lang=DE&langTrans=DE	1				0
auch	auch	ADV	36	39								0
Pauly	Pauly	NOUN	41	45						1		0
Freméry	Freméry	PROPN	0	6						1		0
Urban	Urban	PROPN	8	12						1		0
und	und	CONJ	14	16								0
Bronnert	Bronnert	PROPN	18	25						1		0
beteiligt	beteiligen	VERB	27	35								0
sind	sein	AUX	37	40								0
Durch	Durch	ADP	42	46								0
das	der	DET	0	2								0
TLhiele	TLhiele	NOUN	4	10						1	1	1
		SPACE	12	12						1		0
Bembergsche	Bembergsche	ADJ	13	23								0
Streckspinnversahren	Streckspinnversahren	NOUN	25	44						1	1	1
wurde	werden	AUX	46	50								0
diese	dies	DET	52	56								0
„	„	PUNCT	58	58								0
Kupferscide	Kupferscide	NOUN	59	69						1	1	1
noch	noch	ADV	71	74								0
verleinert	verleinert	VERB	76	85						1	1	1
Das	der	DET	87	89								0
dritte	dritt	VERB	91	96						1		0
das	der	DET	98	100								0
sog	sog	ADP	102	104						1		0
Viscoseversahren	Viscoseversahren	NOUN	106	121						1	1	1
hat	haben	AUX	123	125								0
den	der	DET	127	129	den							0
Vorteil	Vorteil	NOUN	131	137		B-bn:00001559n	https://babelnet.org/synset?word=bn:00001559n&lang=DE&langTrans=DE	1				0
daß	daß	SCONJ	139	141								0
die	der	DET	143	145	die							0
verschiedensten	verschieden	ADJ	147	161		B-bn:00101554a	https://babelnet.org/synset?word=bn:00101554a&lang=DE&langTrans=DE	1				0
Materialien	Material	NOUN	0	10	Materialien	B-bn:00053802n	https://babelnet.org/synset?word=bn:00053802n&lang=DE&langTrans=DE		1	1		0
Papier	Papier	NOUN	12	17	Papier	B-bn:00060464n	https://babelnet.org/synset?word=bn:00060464n&lang=DE&langTrans=DE	1				0
Lumpen	Lump	PROPN	19	24						1		0
Holz	holzen	NOUN	26	29	Holz	B-bn:00081492n	https://babelnet.org/synset?word=bn:00081492n&lang=DE&langTrans=DE	1				0
verwendet	verwenden	VERB	31	39	verwendet	B-bn:00082705v	https://babelnet.org/synset?word=bn:00082705v&lang=DE&langTrans=DE	1				0
verden	verden	VERB	41	46	verden	B-bn:01043592n	https://babelnet.org/synset?word=bn:01043592n&lang=DE&langTrans=DE		1	1	1	1
können	können	VERB	48	53						1		0
1892	1892	NUM	55	58								0
erfanden	erfinden	VERB	60	67						1		0
Cross	Cross	PROPN	69	73	Cross	B-bn:15596159n	https://babelnet.org/synset?word=bn:15596159n&lang=DE&langTrans=DE		1	1		0
Bevan	Bevan	PROPN	75	79						1		0
und	und	CONJ	81	83								0
Beadle	Beadle	NOUN	0	5	Beadle	B-bn:00009298n	https://babelnet.org/synset?word=bn:00009298n&lang=DE&langTrans=DE		1	1		0
die	der	DET	7	9								0
Viscoselösung	Viscoselösung	NOUN	11	23						1		0
deren	der	PRON	25	29								0
Fäden	Faden	NOUN	31	35	Fäden	B-bn:02452704n	https://babelnet.org/synset?word=bn:02452704n&lang=DE&langTrans=DE	1				0
durch	durch	ADP	0	4								0
Müller	Müller	PROPN	6	11	Müller	B-bn:00055035n	https://babelnet.org/synset?word=bn:00055035n&lang=DE&langTrans=DE		1	1		0
und	und	CONJ	13	15								0
das	der	DET	17	19								0
Eilienfeldverlahren	Eilienfeldverlahren	NOUN	21	39						1	1	1
stark	stark	ADJ	41	45	stark	B-bn:00111312a	https://babelnet.org/synset?word=bn:00111312a&lang=DE&langTrans=DE		1	1		0
verbessert	verbessern	VERB	0	9	verbessert	B-bn:00082576v	https://babelnet.org/synset?word=bn:00082576v&lang=DE&langTrans=DE	1				0
wurden	werden	AUX	11	16								0
sodaß	sodaß	ADJ	18	22						1		0
heute	heute	ADV	24	28	heute	B-bn:00117315r	https://babelnet.org/synset?word=bn:00117315r&lang=DE&langTrans=DE		1	1		0
Viscose	Viscose	NOUN	30	36	Viscose	B-bn:00017063n	https://babelnet.org/synset?word=bn:00017063n&lang=DE&langTrans=DE	1				0
der	der	DET	38	40								0
gebräuchlichste	gebräuchlich	ADJ	42	56						1		0
unter	unter	ADP	58	62								0
den	der	DET	64	66								0
Fünstlichen	Fünstlichen	NOUN	68	78						1	1	1
Textilstoffen	Textilstoffen	NOUN	80	92						1		0
ist	sein	AUX	94	96								0
An	an	ADP	0	1								0
der	der	DET	3	5								0
Ausbildung	Ausbildung	NOUN	7	16	Ausbildung	B-bn:00008840n	https://babelnet.org/synset?word=bn:00008840n&lang=DE&langTrans=DE		1	1		0
der	der	DET	18	20								0
sog	sog	X	22	24						1		0
Acetatseide	Acetatseide	PROPN	26	36	Acetatseide	B-bn:00000837n	https://babelnet.org/synset?word=bn:00000837n&lang=DE&langTrans=DE		1	1		0
der	der	DET	38	40								0
vierten	viert	ADJ	0	6						1		0
und	und	CONJ	8	10								0
jüngsten	jung	ADJ	12	19	jüngsten	B-bn:00104589a	https://babelnet.org/synset?word=bn:00104589a&lang=DE&langTrans=DE	1				0
Kunstseide	Kunstseide	NOUN	21	30	Kunstseide	B-bn:00066318n	https://babelnet.org/synset?word=bn:00066318n&lang=DE&langTrans=DE	1				0
sind	sein	AUX	32	35								0
der	der	DET	37	39								0
Schweizer	Schweizer	NOUN	41	49	Schweizer	B-bn:00075601n	https://babelnet.org/synset?word=bn:00075601n&lang=DE&langTrans=DE	1				0
H	H	X	0	0						1		0
Dreyfus	Dreyfus	PROPN	2	8						1		0
und	und	CONJ	10	12								0
der	der	DET	14	16								0
Deutsche	deutschen	ADJ	18	25						1		0
L	L	PROPN	27	27						1		0
Lederer	Lederer	PROPN	29	35	Lederer	B-bn:03335230n	https://babelnet.org/synset?word=bn:03335230n&lang=DE&langTrans=DE	1				0
entscheidend	entscheiden	ADJ	0	11	entscheidend	B-bn:00101014a	https://babelnet.org/synset?word=bn:00101014a&lang=DE&langTrans=DE	1				0
beteiligt	beteiligen	VERB	13	21	beteiligt	B-bn:00105394a	https://babelnet.org/synset?word=bn:00105394a&lang=DE&langTrans=DE	1				0
Ihr	mein	DET	23	25								0
Rohmaterial	Rohmaterial	NOUN	27	37	Rohmaterial	B-bn:16572586n	https://babelnet.org/synset?word=bn:16572586n&lang=DE&langTrans=DE	1				0
sind	sein	AUX	39	42								0
Baumvoll	Baumvoll	NOUN	44	51						1	1	1
Linters	Linters	PROPN	53	59	Linters	B-bn:15909336n	https://babelnet.org/synset?word=bn:15909336n&lang=DE&langTrans=DE	1				0
so	so	ADV	61	62								0
heißt	heißen	VERB	64	68	heißt	B-bn:13626957v	https://babelnet.org/synset?word=bn:13626957v&lang=DE&langTrans=DE	1				0
die	der	DET	70	72								0
Wolle	wollen	NOUN	74	78	Wolle	B-bn:00081531n	https://babelnet.org/synset?word=bn:00081531n&lang=DE&langTrans=DE	1				0
die	der	DET	80	82								0
den	der	DET	84	86								0
Baumwollkern	Baumwollkern	NOUN	88	99						1		0
umgibt	umgeben	VERB	101	106	umgibt	B-bn:00083797v	https://babelnet.org/synset?word=bn:00083797v&lang=DE&langTrans=DE	1				0
Die	der	DET	108	110								0
Acctatseide	Acctatseide	NOUN	112	122						1	1	1
ist	sein	AUX	124	126								0
sehr	sehr	ADV	128	131								0
elastisch	elastisch	ADJ	133	141	elastisch	B-bn:00102068a	https://babelnet.org/synset?word=bn:00102068a&lang=DE&langTrans=DE	1				0
und	und	CONJ	0	2								0
wasserfest	wasserfest	VERB	4	13		B-bn:00109410a	https://babelnet.org/synset?word=bn:00109410a&lang=DE&langTrans=DE	1				0
Interessant	Interessant	ADJ	15	25	Interessant	B-bn:15415647n	https://babelnet.org/synset?word=bn:15415647n&lang=DE&langTrans=DE		1	1		0
ist	sein	AUX	27	29								0
daß	daß	SCONJ	31	33								0
sowohl	sowohl	CONJ	35	40								0
beim	beim	ADP	42	45								0
Nitro	Nitro	PROPN	0	4	Nitro	B-bn:02243206n	https://babelnet.org/synset?word=bn:02243206n&lang=DE&langTrans=DE		1	1		0
wie	wie	CONJ	6	8								0
beim	beim	ADP	10	13								0
Kupfer	Kupfer	NOUN	15	20	Kupfer	B-bn:00006859n	https://babelnet.org/synset?word=bn:00006859n&lang=DE&langTrans=DE	1				0
und	und	CONJ	22	24								0
Viscoseverfahren	Viscoseverfahren	NOUN	26	41						1		0
die	der	PART	43	45								0
Absicht	Absicht	NOUN	0	6	Absicht	B-bn:00002178n	https://babelnet.org/synset?word=bn:00002178n&lang=DE&langTrans=DE	1				0
bestand	bestand	VERB	8	14	bestand	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=DE&langTrans=DE		1	1		0
Glühfäden	Glühfäden	NOUN	16	24						1		0
herzustellen	herstellen	VERB	26	37	herzustellen	B-bn:00085678v	https://babelnet.org/synset?word=bn:00085678v&lang=DE&langTrans=DE	1				0
Die	der	DET	0	2								0
Ausbreitung	Ausbreitung	NOUN	4	14	Ausbreitung	B-bn:03697298n	https://babelnet.org/synset?word=bn:03697298n&lang=DE&langTrans=DE		1	1		0
der	der	DET	16	18								0
Kunstseidenindustrie	Kunstseidenindustrie	NOUN	20	39						1		0
ging	gehen	VERB	41	44	ging	B-bn:00085363v	https://babelnet.org/synset?word=bn:00085363v&lang=DE&langTrans=DE		1	1		0
zunächst	zunächst	ADV	46	53	zunächst	B-bn:00115376r	https://babelnet.org/synset?word=bn:00115376r&lang=DE&langTrans=DE	1				0
von	von	ADP	55	57								0
Besançon	Besançon	NOUN	59	66						1		0
aus	aus	PART	68	70								0
wo	wo	ADV	72	73								0
heute	heute	ADV	0	4	heute	B-bn:00117315r	https://babelnet.org/synset?word=bn:00117315r&lang=DE&langTrans=DE		1	1		0
nicht	nicht	PART	6	10								0
mehr	mehr	ADV	12	15	mehr	B-bn:00116285r	https://babelnet.org/synset?word=bn:00116285r&lang=DE&langTrans=DE		1	1		0
Nitro	Nitro	NOUN	17	21	Nitro	B-bn:02243206n	https://babelnet.org/synset?word=bn:02243206n&lang=DE&langTrans=DE		1	1		0
sondern	sondern	CONJ	23	29								0
Viscoseseide	Viscoseseide	NOUN	31	42						1		0
hergestellt	herstellen	VERB	44	54	hergestellt	B-bn:00085678v	https://babelnet.org/synset?word=bn:00085678v&lang=DE&langTrans=DE	1				0
wird	werden	AUX	56	59								0
Die	der	DET	61	63								0
Aufmerksamkeit	Aufmerksamkeit	NOUN	65	78	Aufmerksamkeit	B-bn:00007020n	https://babelnet.org/synset?word=bn:00007020n&lang=DE&langTrans=DE	1				0
richtete	richten	VERB	80	87						1		0
sich	sich	PRON	89	92								0
nach	nach	ADP	0	3								0
der	der	DET	5	7								0
Schweiz	Schweiz	PROPN	9	15	Schweiz	B-bn:00069666n	https://babelnet.org/synset?word=bn:00069666n&lang=DE&langTrans=DE	1				0
die	der	DET	17	19								0
in	in	ADP	21	22								0
der	der	DET	24	26								0
Naturseidenindustrie	Naturseidenindustrie	NOUN	28	47						1		0
einen	ein	DET	49	53								0
ersten	erst	ADJ	55	60	ersten	B-bn:00103006a	https://babelnet.org/synset?word=bn:00103006a&lang=DE&langTrans=DE	1				0
Rang	Rang	NOUN	62	65	Rang	B-bn:00066162n	https://babelnet.org/synset?word=bn:00066162n&lang=DE&langTrans=DE	1				0
einnahm	einnehmen	VERB	67	73						1		0
Die	der	DET	75	77								0
erste	erste	PRON	79	83						1		0
Fabrik	Fabrik	NOUN	0	5	Fabrik	B-bn:00032675n	https://babelnet.org/synset?word=bn:00032675n&lang=DE&langTrans=DE	1				0
entstand	entstehen	VERB	7	14	entstand	B-bn:00082757v	https://babelnet.org/synset?word=bn:00082757v&lang=DE&langTrans=DE	1				0
in	in	ADP	16	17								0
Spreitenbach	Spreitenbach	PROPN	19	30						1		0
1892	1892	NUM	32	35								0
kam	kommen	VERB	37	39	kam	B-bn:00085322v	https://babelnet.org/synset?word=bn:00085322v&lang=DE&langTrans=DE		1	1		0
der	der	DET	0	2								0
Deutsche	deutschen	ADJ	4	11	Deutsche	B-bn:00744882n	https://babelnet.org/synset?word=bn:00744882n&lang=DE&langTrans=DE	1				0
Lehnert	Lehnert	NOUN	13	19						1		0
nach	nach	ADP	21	24								0
Glattbrugg	Glattbrugg	NOUN	26	35	Glattbrugg	B-bn:02601931n	https://babelnet.org/synset?word=bn:02601931n&lang=DE&langTrans=DE	1				0
und	und	CONJ	0	2								0
eröffnete	eröffnen	VERB	4	12	eröffnete	B-bn:00091166v	https://babelnet.org/synset?word=bn:00091166v&lang=DE&langTrans=DE	1				0
dort	dort	ADV	14	17								0
eine	einen	DET	19	22								0
Fabrik	Fabrik	NOUN	24	29	Fabrik	B-bn:00032675n	https://babelnet.org/synset?word=bn:00032675n&lang=DE&langTrans=DE	1				0
Beide	beid	DET	31	35								0
Unternehmen	Unternehmen	NOUN	37	47	Unternehmen	B-bn:00022811n	https://babelnet.org/synset?word=bn:00022811n&lang=DE&langTrans=DE	1				0
fabrizierten	fabrizierten	ADJ	0	11						1		0
Chardonnetscide	Chardonnetscide	PROPN	13	27						1	1	1
gingen	gehen	VERB	29	34	gingen	B-bn:00085363v	https://babelnet.org/synset?word=bn:00085363v&lang=DE&langTrans=DE		1	1		0
jedoch	jedoch	ADV	36	41	jedoch	B-bn:00114216r	https://babelnet.org/synset?word=bn:00114216r&lang=DE&langTrans=DE	1				0
190506	190506	NUM	43	48								0
wieder	wieder	ADV	0	5								0
ein	einen	DET	7	9								0
Ihre	mein	DET	11	14								0
erste	erste	ADJ	16	20						1		0
Verwendung	Verwendung	NOUN	22	31	Verwendung	B-bn:00079366n	https://babelnet.org/synset?word=bn:00079366n&lang=DE&langTrans=DE		1	1		0
sand	sand	VERB	33	36	sand	B-bn:00069126n	https://babelnet.org/synset?word=bn:00069126n&lang=DE&langTrans=DE		1	1	1	1
die	der	DET	38	40								0
Kunstscide	Kunstscide	NOUN	42	51						1	1	1
als	als	ADP	53	55								0
Besatxartikel	Besatxartikel	NOUN	57	69						1	1	1
für	für	ADP	71	73								0
Tressen	Tressen	NOUN	75	81						1		0
Fabriken	Fabrik	NOUN	83	90	Fabriken	B-bn:00032675n	https://babelnet.org/synset?word=bn:00032675n&lang=DE&langTrans=DE	1				0
entstanden	entstehen	VERB	0	9	entstanden	B-bn:00082757v	https://babelnet.org/synset?word=bn:00082757v&lang=DE&langTrans=DE	1				0
in	in	ADP	11	12								0
Frankfurt	Frankfurt	PROPN	14	22						1		0
in	in	ADP	24	25								0
Belgien	Belgien	PROPN	27	33	Belgien	B-bn:00009714n	https://babelnet.org/synset?word=bn:00009714n&lang=DE&langTrans=DE	1				0
in	in	PART	35	36								0
Padua	Padua	NOUN	0	4						1		0
und	und	CONJ	6	8								0
Pavia	Pavia	PROPN	10	14						1		0
wo	wo	ADV	16	17								0
die	der	DET	19	21								0
Viscose	Viscose	NOUN	23	29	Viscose	B-bn:00017063n	https://babelnet.org/synset?word=bn:00017063n&lang=DE&langTrans=DE	1				0
heute	heute	ADV	31	35	heute	B-bn:00117315r	https://babelnet.org/synset?word=bn:00117315r&lang=DE&langTrans=DE		1	1		0
noch	noch	ADV	37	40								0
eine	einen	DET	0	3								0
bedeutende	bedeutend	ADJ	5	14	bedeutende	B-bn:00106527a	https://babelnet.org/synset?word=bn:00106527a&lang=DE&langTrans=DE	1				0
Rolle	rollen	NOUN	16	20	Rolle	B-bn:00017749n	https://babelnet.org/synset?word=bn:00017749n&lang=DE&langTrans=DE	1				0
spielt	spielen	VERB	22	27	spielt	B-bn:00082287v	https://babelnet.org/synset?word=bn:00082287v&lang=DE&langTrans=DE					0
Auch	Auch	ADV	29	32								0
die	der	DET	34	36								0
Herren	Herr	NOUN	38	43	Herren	B-bn:00001533n	https://babelnet.org/synset?word=bn:00001533n&lang=DE&langTrans=DE	1				0
Fréméry	Fréméry	PROPN	45	51						1		0
Bronnert	Bronnert	PROPN	53	60						1		0
und	und	CONJ	62	64								0
Thiele	Thiele	NOUN	66	71	Thiele	B-bn:02716040n	https://babelnet.org/synset?word=bn:02716040n&lang=DE&langTrans=DE		1	1		0
die	der	DET	73	75								0
an	an	ADP	77	78								0
der	der	DET	80	82								0
Nitroseide	Nitroseide	PROPN	84	93						1		0
weiterarbeiteten	weiterarbeiten	VERB	0	15						1		0
vollten	vollten	VERB	17	23						1	1	1
eigentlich	eigentlich	ADV	25	34	eigentlich	B-bn:00113632a	https://babelnet.org/synset?word=bn:00113632a&lang=DE&langTrans=DE		1	1		0
Glühfäden	Glühfäden	NOUN	36	44						1		0
erzielen	erzielen	VERB	0	7	erzielen	B-bn:00089351v	https://babelnet.org/synset?word=bn:00089351v&lang=DE&langTrans=DE		1	1		0
s0	s0	PROPN	9	10								0
wie	wie	CONJ	12	14								0
sie	ich	PRON	16	18								0
damals	damals	ADV	20	25	damals	B-bn:00117251r	https://babelnet.org/synset?word=bn:00117251r&lang=DE&langTrans=DE					0
für	für	ADP	27	29								0
die	der	DET	31	33								0
eben	eben	ADV	35	38						1		0
von	von	ADP	40	42								0
Edison	Edison	PROPN	44	49						1		0
erfundene	erfunden	ADJ	0	8						1		0
KohlenfadenGlühlampe	KohlenfadenGlühlampe	NOUN	10	29								
verwendet	verwenden	VERB	31	39	verwendet					1		0
wurden	werden	AUX	41	46								0
aus	aus	ADP	48	50								0
der	der	DET	52	54								0
sog	sog	X	56	58								0
Kupferseide	Kupferseide	NOUN	60	70	Kupferseide	B-bn:02752962n	https://babelnet.org/synset?word=bn:02752962n&lang=DE&langTrans=DE					0
fabrizierte	fabrizierte	VERB	72	82						1		0
man	man	PRON	84	86								0
denn	denn	ADV	88	91								0
auch	auch	ADV	0	3								0
später	spät	ADJ	5	10	später	B-bn:00105755a	https://babelnet.org/synset?word=bn:00105755a&lang=DE&langTrans=DE		1	1		0
vielsach	vielsach	VERB	12	19								0
die	der	DET	21	23								0
Träger	träge	NOUN	25	30	Träger	B-bn:00080753n	https://babelnet.org/synset?word=bn:00080753n&lang=DE&langTrans=DE	1				0
der	der	DET	32	34								0
bekannten	bekannt	ADJ	36	44	bekannten	B-bn:00082267v	https://babelnet.org/synset?word=bn:00082267v&lang=DE&langTrans=DE		1	1		0
Auerschen	Auerschen	NOUN	0	8						1		0
Glühstrümpfe	Glühstrümpfe	NOUN	10	21	Glühstrümpfe	B-bn:03090505n	https://babelnet.org/synset?word=bn:03090505n&lang=DE&langTrans=DE	1				0
incandescent	incandescent	ADJ	23	34						1		0
light	light	VERB	36	40	light					1		0
Kunstscidenunternehmungen	Kunstscidenunternehmungen	NOUN	0	24						1		0
entstanden	entstehen	VERB	26	35	entstanden	B-bn:00082757v	https://babelnet.org/synset?word=bn:00082757v&lang=DE&langTrans=DE	1				0
auch	auch	ADV	37	40								0
in	in	PART	42	43								0
St	St	NOUN	0	1		B-bn:16805283n	https://babelnet.org/synset?word=bn:16805283n&lang=DE&langTrans=DE		1	1		0
Pölten	Pölten	NOUN	3	8						1		0
in	in	ADP	10	11								0
den	der	DET	13	15								0
Ardennen	Ardennen	NOUN	17	24	Ardennen	B-bn:14197188n	https://babelnet.org/synset?word=bn:14197188n&lang=DE&langTrans=DE	1				0
Givet	Givet	NOUN	26	30	Givet	B-bn:03873863n	https://babelnet.org/synset?word=bn:03873863n&lang=DE&langTrans=DE	1				0
Bernheim	Bernheim	PROPN	32	39						1		0
bei	bei	ADP	41	43								0
Lyon	Lyon	PROPN	45	48						1		0
Izicux	Izicux	PROPN	50	55						1		0
Wegen	Weg	ADP	0	4								0
des	der	DET	6	8								0
geringen	gering	ADJ	10	17						1		0
Festigkeitsgrades	Festigkeitsgrades	NOUN	19	35						1		0
und	und	CONJ	37	39								0
der	der	DET	41	43								0
hohen	hoch	ADJ	0	4	hohen	B-bn:00104163a	https://babelnet.org/synset?word=bn:00104163a&lang=DE&langTrans=DE	1				0
Alkoholkosten	Alkoholkosten	NOUN	6	18						1		0
der	der	DET	20	22								0
Nitroseide	Nitroseide	PROPN	24	33						1		0
ging	gehen	VERB	35	38	ging	B-bn:00085363v	https://babelnet.org/synset?word=bn:00085363v&lang=DE&langTrans=DE		1	1		0
man	man	PRON	40	42								0
im	im	ADP	44	45								
zweiten	zweit	ADJ	0	6								0
Jahrzehnt	Jahrzehnt	NOUN	8	16	Jahrzehnt	B-bn:00025646n	https://babelnet.org/synset?word=bn:00025646n&lang=DE&langTrans=DE					
des	der	DET	18	20								0
20	20	NUM	22	23								0
Jahrhunderts	Jahrhundert	NOUN	25	36	Jahrhunderts	B-bn:00017234n	https://babelnet.org/synset?word=bn:00017234n&lang=DE&langTrans=DE	1				0
allgemein	allgemein	ADJ	38	46	allgemein	B-bn:00103518a	https://babelnet.org/synset?word=bn:00103518a&lang=DE&langTrans=DE	1				0
zum	zum	ADP	0	2								0
Viscoseversahren	Viscoseversahren	NOUN	4	19						1	1	1
über	über	ADP	21	24								0
Samuel	Samuel	PROPN	26	31						1		0
Courtaults	Courtaults	PROPN	33	42						1		0
eine	einen	DET	44	47								0
alte	alt	ADJ	49	52	alte	B-bn:00107787a	https://babelnet.org/synset?word=bn:00107787a&lang=DE&langTrans=DE	1				0
Seidenfirma	Seidenfirma	NOUN	54	64						1		0
in	in	ADP	66	67								0
London	London	PROPN	69	74	London	B-bn:00013179n	https://babelnet.org/synset?word=bn:00013179n&lang=DE&langTrans=DE	1				0
Kaufte	Kaufte	NOUN	76	81						1	1	1
die	der	DET	0	2								0
Patente	Patent	NOUN	4	10	Patente	B-bn:00050828n	https://babelnet.org/synset?word=bn:00050828n&lang=DE&langTrans=DE	1				0
von	von	ADP	12	14								0
Cross	Cross	PROPN	16	20	Cross	B-bn:03154717n	https://babelnet.org/synset?word=bn:03154717n&lang=DE&langTrans=DE		1	1		0
Bevan	Bevan	PROPN	22	26						1		0
und	und	CONJ	28	30								0
Beadle	Beadle	NOUN	32	37	Beadle	B-bn:00009298n	https://babelnet.org/synset?word=bn:00009298n&lang=DE&langTrans=DE			1		0
auf	auf	PART	39	41								0
und	und	CONJ	43	45								0
baute	bauen	VERB	0	4	baute	B-bn:00084198v	https://babelnet.org/synset?word=bn:00084198v&lang=DE&langTrans=DE	1				0
sie	ich	PRON	6	8								0
zu	zu	ADP	10	11								0
der	der	DET	13	15								0
heutigen	heutig	ADJ	17	24	heutigen	B-bn:00100361a	https://babelnet.org/synset?word=bn:00100361a&lang=DE&langTrans=DE	1				0
großen	groß	ADJ	26	31	großen	B-bn:00098342a	https://babelnet.org/synset?word=bn:00098342a&lang=DE&langTrans=DE	1				0
englischen	englisch	ADJ	33	42	englischen	B-bn:00102249a	https://babelnet.org/synset?word=bn:00102249a&lang=DE&langTrans=DE		1	1		0
Viscoseindustrie	Viscoseindustrie	NOUN	0	15						1		0
aus	aus	ADP	17	19								0
Einen	einer	DET	21	25								0
hervorragenden	hervorragend	ADJ	27	40	hervorragenden	B-bn:00108068a	https://babelnet.org/synset?word=bn:00108068a&lang=DE&langTrans=DE	1				0
Anteil	Anteil	NOUN	0	5	Anteil	B-bn:00060768n	https://babelnet.org/synset?word=bn:00060768n&lang=DE&langTrans=DE	1				0
an	an	ADP	7	8								0
der	der	DET	10	12								0
technischen	technisch	ADJ	14	24	technischen	B-bn:00109073a	https://babelnet.org/synset?word=bn:00109073a&lang=DE&langTrans=DE	1				0
Entwicklung	Entwicklung	NOUN	26	36	Entwicklung	B-bn:00026696n	https://babelnet.org/synset?word=bn:00026696n&lang=DE&langTrans=DE	1				0
des	der	DET	38	40								0
Viscoseverfahrens	Viscoseverfahrens	NOUN	42	58						1		0
hat	haben	AUX	60	62								0
auch	auch	ADV	64	67								0
die	der	DET	69	71								0
„	„	PUNCT	73	73								0
Société	Société	PROPN	74	80								0
Française	Française	PROPN	82	90	Française	B-bn:05159900n	https://babelnet.org/synset?word=bn:05159900n&lang=DE&langTrans=DE		1	1		0
de	de	PROPN	92	93						1		0
la	la	PROPN	95	96						1		0
Viscose	Viscose	VERB	0	6	Viscose	B-bn:00017063n	https://babelnet.org/synset?word=bn:00017063n&lang=DE&langTrans=DE		1	1		0
die	der	PRON	8	10								0
die	der	DET	12	14								0
Muttergesellschalt	Muttergesellschalt	NOUN	16	33						1		0
der	der	DET	35	37								0
Schweizesrischen	Schweizesrischen	ADJ	39	54						1	1	1
Viscosegesellschalt	Viscosegesellschalt	NOUN	56	74						1		0
in	in	ADP	76	77								0
Emmenbrücke	Emmenbrücke	NOUN	79	89						1		0
ist	sein	AUX	91	93								0
In	In	ADP	95	96								0
Deutschland	Deutschland	PROPN	0	10	Deutschland	B-bn:00026684n	https://babelnet.org/synset?word=bn:00026684n&lang=DE&langTrans=DE	1				0
finanzierte	finanzieren	VERB	12	22	finanzierte	B-bn:00088201v	https://babelnet.org/synset?word=bn:00088201v&lang=DE&langTrans=DE	1				0
Graf	Graf	PROPN	24	27	Graf	B-bn:00041265n	https://babelnet.org/synset?word=bn:00041265n&lang=DE&langTrans=DE		1	1		0
Henckel	Henckel	PROPN	29	35						1		0
von	von	PART	37	39						1		0
Donnersmark	Donnersmark	NOUN	0	10						1		0
das	der	DET	12	14								0
Viscoseverfahren	Viscoseverfahren	NOUN	16	31						1		0
der	der	DET	33	35								0
„	„	PUNCT	37	37								0
